timestamp,valid_for_time,price,regime,regime_state,strategy_used,signal,volatility,noise_level,trend_deviation
2018.08.23 16:00,2018.08.23 17:00,111.056,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.076619,0.113723,0.001144
2018.08.29 17:00,2018.08.29 18:00,111.662,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.070957,0.117259,0.000583
2018.08.30 19:00,2018.08.30 20:00,111.232,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.042062,0.026679,-0.001544
2018.09.04 15:00,2018.09.04 16:00,111.314,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.047212,0.041756,0.001439
2018.09.05 16:00,2018.09.05 17:00,111.728,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.078248,0.098245,0.000278
2018.09.07 15:00,2018.09.07 16:00,111.037,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.061085,0.101701,0.000527
2018.09.11 03:00,2018.09.11 04:00,111.402,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.088859,0.149693,0.000592
2018.09.13 03:00,2018.09.13 04:00,111.415,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.065095,0.094033,-0.000904
2018.09.14 15:00,2018.09.14 16:00,112.041,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.076226,0.12653,-0.000308
2018.09.18 04:00,2018.09.18 05:00,111.889,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.075113,0.104668,-0.000939
2018.09.20 17:00,2018.09.20 18:00,112.427,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.084872,0.155701,-4.6e-05
2018.09.27 17:00,2018.09.27 18:00,113.223,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.056199,0.083126,0.000721
2018.10.02 10:00,2018.10.02 11:00,113.817,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.045916,0.070491,-0.000445
2018.10.03 17:00,2018.10.03 18:00,114.108,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.076165,0.127549,0.001169
2018.10.05 17:00,2018.10.05 18:00,113.744,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.038318,0.057977,-0.000457
2018.10.08 11:00,2018.10.08 12:00,113.279,TENDENCIA_BAJISTA,2,BREAKOUT_BEAR,-1,0.13642,0.23197,0.000221
2018.10.12 22:00,2018.10.12 23:00,112.208,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.077896,0.125226,-0.001032
2018.10.15 04:00,2018.10.15 05:00,112.168,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.064432,0.0592,-0.000477
2018.10.16 04:00,2018.10.16 05:00,112.014,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.061712,0.094198,0.000211
2018.10.17 18:00,2018.10.17 19:00,112.197,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.051125,0.081291,-0.000534
2018.10.18 18:00,2018.10.18 19:00,112.131,TENDENCIA_BAJISTA,2,BREAKOUT_BEAR,-1,0.11663,0.206539,-0.000591
2018.10.22 17:00,2018.10.22 18:00,112.867,TENDENCIA_ALCISTA,0,BREAKOUT_BULL,1,0.059039,0.086949,0.001254
